addr	name	size	callers	callees	strings
0002a57a	APP_PARAM_UPDATE_REQ_IND	106	ble_update_param_failed_cnt;hogpd_ntf_cfg_ind_handler	app_start_led;dbg_printf;rom_07342	app_ble_pair_successed | %s ble_pairing_successed_cfm=[%d]
 | APP_PARAM_UPDATE_REQ_IND-2 start update param....
 | pair successed ,start led on....

0002a5e4	FUN_0002a5e4	20	enter_BLE_normal_app_mode		
0002a5f8	FUN_0002a5f8	28	there		
0002a614	there	96	FUN_00028c66	FUN_0002a5f8;FUN_0003b130;dbg_printf	ble lost pkt sum:%d 
 | there is a serious lost pkt occur,need execute cpu reset!!!!!!!!

0002a674	FUN_0002a674	42	FUN_0002f31c	dbg_printf	ble lost pkt accumulate free

0002a69e	FUN_0002a69e	112	tx_failed_cnt	dbg_printf	try high rate............%d ,%d

0002a70e	ble_alert_led_start	98		dbg_printf;rom_07342	%s 
 | ble_alert_led_start
0002a770	ble_alert_led_stop	28	Disconnected;FUN_000328c2;app_mutli_link_change;disconnect;f_usb_isConnected	dbg_printf;rom_073D4	ble_alert_led_stop

0002a78c	FUN_0002a78c	26	enter_BLE_normal_app_mode	reset	
0002a9d0	FUN_0002a9d0	116			
0002aa44	FUN_0002aa44	24	FUN_0002aa5c;SLEEP;enter_BLE_normal_app_mode		
0002aa5c	FUN_0002aa5c	276	FUN_00028c66;system_mode	FUN_0002aa44;FUN_000319c0;FUN_00031b3e;OLED_Init	
0002ab70	FUN_0002ab70	56	FUN_0002ac0e		
0002abba	FUN_0002abba	14	FUN_0002ac0e		
0002abd4	FUN_0002abd4	58	FUN_0002ac0e;FUN_0002b128;get_scan_Rvalue	FUN_00031784	
0002ac0e	FUN_0002ac0e	210	TEST_SINGLE_WAVE;TEST_SINGLE_WAVE_2;enter_BLE_normal_app_mode;system_mode	FUN_0002ab70;FUN_0002abba;FUN_0002abd4;OLED_Init	
0002ace0	set_Update_OLED	514	SLEEP;enter_BLE_normal_app_mode;f_usb_isConnected;system_mode	FUN_000328c2;FUN_0003b568;FUN_0003b5b6;FUN_0003b5f8;dbg_printf;force_24g_sleep;force_ble_sleep	set_Update_OLED--f_bat_low 1
 | set_Update_OLED--f_bat_low 2
 | f_bat_ll_low _ process ..

0002af72	FUN_0002af72	192			
0002b128	FUN_0002b128	62	FUN_0002bd48;SLEEP;exist;f_reconnect_24G	FUN_0002abd4	
0002b166	FUN_0002b166	40	FUN_0002bd48		
0002b18e	FUN_0002b18e	70	FUN_0003cf24;f_usb_isConnected	rom_071EA	
0002b1d4	set_Update_OLED_3	58		OLED_Init;dbg_printf;rom_07342	set_Update_OLED | %s 

0002b20e	set_force_sleep	64	force_24g_sleep;force_ble_sleep	FUN_00032886;FUN_0003587a;FUN_0003bf0a;FUN_0003d508;FUN_0003d546;dbg_printf	set_force_sleep | %s 

0002b24e	force_24g_sleep	68	SLEEP;set_Update_OLED	FUN_0003b528;dbg_printf;set_force_sleep	%s 
 | force_24g_sleep
0002b292	force_ble_sleep	162	force_ble_sleep_2;set_Update_OLED	FUN_00029490;FUN_000295aa;FUN_00033cfc;FUN_00033dc2;FUN_00039a84;FUN_0003b528;dbg_printf;rom_071EA;rom_07342;rom_073D4;sensor_pwdn;set_force_sleep	force_ble_sleep | %s 
 | app_env.adv_state...= %d
 | disconnect start 
 | appm  need stop adv...

0002b334	WDT_REG0X0	78		dbg_printf	WDT_REG0X0 = %x
 | reg30=%x |  /reg31=%x |  /reg33=%x |  /reg35=%x
 | reg03=%x |  /reg04=%x |  /reg10=%x

0002b382	FUN_0002b382	42	FUN_0002b4c8;exist;gpio		
0002b3ac	FUN_0002b3ac	22	FUN_0002bdc4;app_mutli_link_change;gpio;tx_failed_cnt	rom_24FEC	
0002b3c2	gpio	208		FUN_00029464;FUN_0002b382;FUN_0002b3ac;FUN_000317c2;FUN_00033cfe;FUN_0003c6a8;OLED_Init;dbg_printf;get_usb_insert_status;rom_06F58;rom_071EA;rom_07434	gpio int1
 | adv start =%d

0002b492	KEY_piaring_cnt	54	FUN_00029a04;FUN_0002b4c8;FUN_0002d53c;FUN_0003e5f0;app_24_to_ble_reset;app_ble_to_ble_mode;cal_data;enter_BLE_normal_app_mode;nvds_Polling_read;nvds_Polling_write;profile_mem_init;rwip_driver_init;value_kcal_result	dbg_printf	KEY_piaring_cnt :[ %x  to  %x ] %x

0002b4c8	FUN_0002b4c8	22	enter_BLE_normal_app_mode	FUN_0002b382;FUN_000311de;FUN_00039bc2;KEY_piaring_cnt	
0002b4de	FUN_0002b4de	16	app_mutli_link_change	FUN_00031406;rom_24FEC	
0002b4ee	app_mutli_link_change	516	system_mode	FUN_00029490;FUN_000295aa;FUN_0002b3ac;FUN_0002b4de;FUN_000312aa;FUN_00032892;FUN_00032e82;FUN_00032f16;FUN_0003bf0a;Set_SIMU_mode_LightUp_Led;app_user_ke_timer_stop;ble_alert_led_stop;dbg_printf;rom_071EA;switch_rf_mode_loop	long_press..[Rmode %d -> Smode %d] 
 | app_mutli_link_change | %s,RF_MODE:%x
 | key free LongPress
 | force_pair_en 5========%x
 | short_press..[Rmode %d -> Smode %d] 
 | Disconnected by mouse...
 | appm  need stop adv...
 | short press time=%d
 | time_Simu_mode = %d,%d 
 | *****sw_num = %d 

0002b8a2	FUN_0002b8a2	148	FUN_0003186e;system_mode	FUN_000295aa;FUN_0003cf7c;FUN_0003e5f0;app_24_to_ble_force_pair_reset;app_ble_address_update;dbg_printf;rom_071EA	Entry pair mode---RFMODE :[ %x  to  %x ]

0002b936	tx_failed_cnt	402	FUN_0002f31c	FUN_0002a69e;FUN_0002b3ac;FUN_00031244;FUN_000312aa;dbg_printf;rom_24F9C	tx_failed_cnt =%d,%d,Utc_Poll=%d,%d

0002bcac	FUN_0002bcac	156	FUN_0002be1c;FUN_000360aa;SLEEP;exist		
0002bd48	FUN_0002bd48	26		FUN_0002b128;FUN_0002b166	
0002bd62	FUN_0002bd62	98	FUN_0002f31c	rom_071EA;rom_24FEC;update	
0002bdc4	FUN_0002bdc4	18		FUN_0002b3ac	
0002bdd6	This	34		FUN_0003b130;dbg_printf	This is the function key wakeup,start cpu reset...

0002be06	FUN_0002be06	22		dbg_printf	
0002be1c	FUN_0002be1c	44	FUN_0002f31c	FUN_0002bcac;dbg_printf	key wakeup timeout, need key wakeconfig

0002bef8	FUN_0002bef8	12	FUN_00029530		
0002bf04	FUN_0002bf04	44		rom_06EF4;rom_06F26	
0002bf30	FUN_0002bf30	44		FUN_0003ee6e;rom_06EF4;rom_06F26	
0002bf5c	FUN_0002bf5c	44		FUN_0003ee6e;rom_06EF4;rom_06F26	
0002bf88	FUN_0002bf88	34		FUN_0003ee6e;rom_06EF4;rom_06F26	
0002c044	FUN_0002c044	2	FUN_00029530		
0002c046	FUN_0002c046	44		rom_06EF4;rom_06F26	
0002c0dc	FUN_0002c0dc	12		rom_24FEC	
0002c124	FUN_0002c124	52	FUN_00031454;FUN_00031500;FUN_00031524	FUN_0003ee6e;rom_06EF4;rom_06F26;rom_24F9C	
0002c158	FUN_0002c158	54		FUN_0003ee6e;rom_06EF4;rom_06F26;rom_24F9C	
0002c18e	fee4	14		dbg_printf	fee4->param->ntf_cfg = %x

0002c378	FUN_0002c378	44	FUN_00029530	FUN_0003e552;rom_24FEC	
0002c41a	app_hid_enable_prf	60	ble_update_param_failed_cnt	FUN_0003ee6e;dbg_printf;rom_06EF4;rom_06F26	app_hid_enable_prf | %s conidx =d%

